player,team,league,position,salary
"Ahmed, Nick",Arizona Diamondbacks,NL-West,SS,8125000
"Bumgarner, Madison",Arizona Diamondbacks,NL-West,SP,17882892
"Cabrera, Asdrubal",Arizona Diamondbacks,NL-West,2B,1750000
"Calhoun, Kole",Arizona Diamondbacks,NL-West,OF,8000000
"Clarke, Taylor",Arizona Diamondbacks,NL-West,SP,601800
"Clippard, Tyler",Arizona Diamondbacks,NL-West,RP,1750000
"Crichton, Stefan",Arizona Diamondbacks,NL-West,RP,596400
"Devenski, Chris",Arizona Diamondbacks,NL-West,RP,1000000
"Escobar, Eduardo",Arizona Diamondbacks,NL-West,3B,7666667
"Gallen, Zac",Arizona Diamondbacks,NL-West,SP,607500
"Ginkel, Kevin",Arizona Diamondbacks,NL-West,RP,585900
"Kelly, Carson",Arizona Diamondbacks,NL-West,C,1700000
"Kelly, Merrill",Arizona Diamondbacks,NL-West,SP,4250000
"Locastro, Tim",Arizona Diamondbacks,NL-West,OF,589100
"Lopez, Yoan",Arizona Diamondbacks,NL-West,RP,597800
"Marte, Ketel",Arizona Diamondbacks,NL-West,OF,6400000
"Mathisen, Wyatt",Arizona Diamondbacks,NL-West,INF,573600
"Peralta, David",Arizona Diamondbacks,NL-West,OF,8000000
"Rojas, Josh",Arizona Diamondbacks,NL-West,2B,582400
"Smith, Caleb",Arizona Diamondbacks,NL-West,SP,1465000
"Smith, Pavin",Arizona Diamondbacks,NL-West,OF,574600
"Smith, Riley",Arizona Diamondbacks,NL-West,RP,582300
"Soria, Joakim",Arizona Diamondbacks,NL-West,RP,3500000
"VanMeter, Josh",Arizona Diamondbacks,NL-West,INF,586600
"Vogt, Stephen",Arizona Diamondbacks,NL-West,C,3500000
"Walker, Christian",Arizona Diamondbacks,NL-West,1B,619300
"Weaver, Luke",Arizona Diamondbacks,NL-West,SP,1950000
"Widener, Taylor",Arizona Diamondbacks,NL-West,RP,583400
"Young, Alex",Arizona Diamondbacks,NL-West,RP,603000
"Acuna Jr., Ronald",Atlanta Braves,NL-East,OF,5000000
"Adrianza, Ehire",Atlanta Braves,NL-East,SS,1500000
"Albies, Ozzie",Atlanta Braves,NL-East,2B,3000000
"Anderson, Ian",Atlanta Braves,NL-East,SP,575500
