name,contract_amt,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
A'ja Wilson,202154,40,40,30.7,22.8,8.4,15,0.557,8.2,14.3,0.57,0.2,0.7,0.31,5.8,7.2,0.812,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1
Aari McDonald,78586,24,9,23.5,7.9,2.8,6.8,0.402,1.7,3.6,0.47700000000000004,1,3.3,0.321,1.3,1.8,0.762,0.3,1.8,2,3,1.6,0.6,0,1.6
Abby Meyers,12997,9,0,4.1,1.4,0.6,1.4,0.385,0.6,1,0.556,0,0.4,0,0.3,0.3,1,0.1,0.3,0.4,0,0.1,0.1,0.2,0.6
Aerial Powers,201984,20,0,9.7,5.2,1.9,4.6,0.413,1.6,3.7,0.43799999999999994,0.3,1,0.316,1.1,1.2,0.917,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3
Alaina Coates,20837,12,0,2.9,0.9,0.4,0.5,0.833,0.4,0.5,0.833,0,0,NA,0.1,0.3,0.25,0.2,0.7,0.8,0,0.6,0.3,0,0.8
Alanna Smith,100000,38,35,26.5,9.2,3.5,7,0.498,2.7,4.3,0.626,0.8,2.7,0.294,1.4,2.1,0.679,1.8,4.7,6.6,1.8,1.5,1.3,1.3,3.1
Aliyah Boston,74305,40,40,31.2,14.5,5.8,10.1,0.578,5.7,9.8,0.583,0.1,0.3,0.4,2.7,3.6,0.745,3.1,5.3,8.4,2.2,1.9,1.3,1.3,3.1
Allisha Gray,194600,38,38,32.7,17.1,5.8,12.4,0.465,4.7,9.3,0.501,1.1,3.1,0.35600000000000004,4.4,5.4,0.8240000000000001,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6
Alysha Clark,110000,39,1,22.5,6.7,2.3,5.3,0.444,1,1.9,0.5479999999999999,1.3,3.4,0.386,0.7,0.8,0.818,0.5,2.9,3.4,1.1,0.7,0.6,0.2,2.2
Alyssa Thomas,212000,40,40,36.1,15.5,6.1,12.8,0.474,6.1,12.8,0.47600000000000003,0,0.1,0,3.3,4.7,0.715,2,7.9,9.9,7.9,3.4,1.8,0.5,2.7
