player_name,team,number,position,height_in,weight,college,country,draft_year
Natalie Achonwa,Minnesota Lynx,11,F,75,198,Notre Dame,Canada,2015
Lindsay Allen,Minnesota Lynx,2,G,68,145,Notre Dame,USA,2017
Rebecca Allen,Connecticut Sun,9,G,74,162,,Australia,2015
Laeticia Amihere,Atlanta Dream,7,F,75,185,South Carolina,Canada,2023
Kristine Anigwe, ,,F-C,76,200,California,USA,2019
Ariel Atkins,Washington Mystics,7,G,70,167,Texas-Austin,USA,2018
Shakira Austin,Washington Mystics,0,C-F,77,190,Mississippi,USA,2022
Rachel Banham,Minnesota Lynx,15,G,70,181,Minnesota,USA,2016
Kierstan Bell,Las Vegas Aces,1,F,73,176,Florida Gulf Coast,USA,2022
Grace Berger,Indiana Fever,34,G,72,160,Indiana,USA,2023
Morgan Bertsch,Chicago Sky,25,F,76,173,Cal-Davis,USA,2023
Monique Billings,Atlanta Dream,25,F,76,192,UCLA,USA,2018
DeWanna Bonner,Connecticut Sun,24,F-G,76,143,Auburn,USA,2009
Aliyah Boston,Indiana Fever,7,F-C,77,220,South Carolina,USA,2023
Kalani Brown,Dallas Wings,21,C,79,245,Baylor,USA,2019
Leigha Brown,Connecticut Sun,32,G,73,165,Michigan,USA,2023
Lexie Brown,Los Angeles Sparks,4,G,69,162,Duke,USA,2018
Rae Burrell,Los Angeles Sparks,12,G-F,74,168,Tennessee,USA,2022
Veronica Burton,Dallas Wings,12,G,69,155,Northwestern,USA,2022
Maya Caldwell,Indiana Fever,11,G,71,160,Georgia,USA,2022
Jordin Canada,Los Angeles Sparks,21,G,66,135,UCLA,USA,2018
Emma Cannon,Indiana Fever,32,F,74,190,Florida Southern,USA,2017
Bridget Carleton,Minnesota Lynx,6,F,73,179,Iowa State,Canada,2019
DiJonai Carrington,Connecticut Sun,21,G-F,71,175,Baylor,USA,2021
Kaila Charles, ,,G-F,73,168,Maryland,USA,2020
Layshia Clarendon,Los Angeles Sparks,25,G,69,158,California,USA,2013
Alysha Clark,Las Vegas Aces,7,F,71,167,Middle Tennessee,USA,2012
